"ethnic","software","auc","auc_LL","auc_UL","method","clump_auc"
"EUR","clump",0.592561273774524,0.566287829290458,0.618834718258591,"P+T",0.592561273774524
"EUR","ldpred1500",0.613809782627877,0.588136325919918,0.639483239335835,"LDPred",0.592561273774524
"EUR","anno1500",0.629371530216455,0.604412202515789,0.65433085791712,"AnnoPred",0.592561273774524
"SAS","clump",0.576521508650831,0.534900343819207,0.618142673482456,"P+T",0.576521508650831
"SAS","ldpred1500",0.588768581805057,0.54958180299323,0.627955360616885,"LDPred",0.576521508650831
"SAS","anno1500",0.608943233854413,0.568944088221867,0.64894237948696,"AnnoPred",0.576521508650831
"EAS","clump",0.503472222222222,0.416496882752314,0.590447561692131,"P+T",0.503472222222222
"EAS","ldpred1500",0.552131061473845,0.456612358342097,0.647649764605593,"LDPred",0.503472222222222
"EAS","anno1500",0.567260882016037,0.473643813686116,0.660877950345958,"AnnoPred",0.503472222222222
"AFR","clump",0.515490253017665,0.462948382899698,0.568032123135632,"P+T",0.515490253017665
"AFR","ldpred1500",0.52533792616971,0.47282946361118,0.57784638872824,"LDPred",0.515490253017665
"AFR","anno1500",0.535724656788953,0.482870919684649,0.588578393893257,"AnnoPred",0.515490253017665
