ethnic,software,auc,auc_LL,auc_UL,tier
EUR,anno1500,0.62937153,0.604412203,0.654330858,tier0
EUR,anno1500,0.627803841,0.602552864,0.653054818,tier1
EUR,anno1500,0.631538435,0.606598631,0.65647824,tier2
EUR,anno1500,0.629846337,0.604735275,0.654957398,tier3
EUR,anno1500,0.625064631,0.600071501,0.650057761,tier4
SAS,anno1500,0.608943234,0.568944088,0.648942379,tier0
SAS,anno1500,0.598032133,0.558240191,0.637824075,tier1
SAS,anno1500,0.602117593,0.562265858,0.641969327,tier2
SAS,anno1500,0.604259153,0.564524588,0.643993718,tier3
SAS,anno1500,0.596887618,0.557837798,0.635937439,tier4
EAS,anno1500,0.567260882,0.473643814,0.66087795,tier0
EAS,anno1500,0.561563335,0.467601054,0.655525617,tier1
EAS,anno1500,0.577719311,0.487542405,0.667896217,tier2
EAS,anno1500,0.551140703,0.458654237,0.643627168,tier3
EAS,anno1500,0.580451747,0.49364985,0.667253643,tier4
AFR,anno1500,0.535724657,0.48287092,0.588578394,tier0
AFR,anno1500,0.540065488,0.48722393,0.592907046,tier1
AFR,anno1500,0.542760775,0.491121605,0.594399945,tier2
AFR,anno1500,0.544123717,0.493512283,0.594735152,tier3
AFR,anno1500,0.545217409,0.492261388,0.59817343,tier4
EUR,anno1500,0.613809783,0.60071084,0.626908726,none
SAS,anno1500,0.588768582,0.56877496,0.608762204,none
EAS,anno1500,0.552131061,0.503396134,0.600865989,none
AFR,anno1500,0.525337926,0.498547402,0.55212845,none
