ethnic,method,auc,clump_auc,improve
EUR,PRScs,0.645589267,0.623228179,0.036
EUR,LDPred,0.621277344,0.623228179,-0.003
EUR,AnnoPred,0.642226767,0.623228179,0.030
SAS,PRScs,0.610785278,0.56526106,0.081
SAS,LDPred,0.614286183,0.56526106,0.087
SAS,AnnoPred,0.615043729,0.56526106,0.088
EAS,PRScs,0.660571144,0.673013323,-0.018
EAS,LDPred,0.615594272,0.673013323,-0.085
EAS,AnnoPred,0.666576185,0.673013323,-0.010
AFR,PRScs,0.58282741,0.574733779,0.014
AFR,LDPred,0.559743317,0.574733779,-0.026
AFR,AnnoPred,0.60319295,0.574733779,0.050
