"ethnic","software","auc","auc_LL","auc_UL","method","clump_auc"
"EUR","clump",0.623228179,0.59213284,0.654323518,"P+T",0.623228179
"EUR","ldpred1500",0.621277344,0.590234311,0.652320377,"LDPred",0.623228179
"EUR","anno1500",0.642226767,0.61170844,0.672745095,"AnnoPred",0.623228179
"SAS","clump",0.56526106,0.521440035,0.609082085,"P+T",0.56526106
"SAS","ldpred1500",0.614286183,0.573149846,0.655422519,"LDPred",0.56526106
"SAS","anno1500",0.615043729,0.574243795,0.655843662,"AnnoPred",0.56526106
"EAS","clump",0.673013323,0.610947922,0.735078724,"P+T",0.673013323
"EAS","ldpred1500",0.615594272,0.554582513,0.676606031,"LDPred",0.673013323
"EAS","anno1500",0.666576185,0.604085785,0.729066584,"AnnoPred",0.673013323
"AFR","clump",0.574733779,0.524154824,0.625312733,"P+T",0.574733779
"AFR","ldpred1500",0.559743317,0.510522342,0.608964291,"LDPred",0.574733779
"AFR","anno1500",0.60319295,0.552055841,0.654330058,"AnnoPred",0.574733779
