ethnic,software,auc,auc_LL,auc_UL,tier
EUR,anno1500,0.624428774,0.593503735,0.655353812,tier0
EUR,anno1500,0.636751024,0.606181335,0.667320714,tier1
EUR,anno1500,0.622859328,0.591967037,0.65375162,tier2
EUR,anno1500,0.627657675,0.596832234,0.658483116,tier3
EUR,anno1500,0.642226767,0.61170844,0.672745095,tier4
SAS,anno1500,0.627181837,0.586867645,0.667496029,tier0
SAS,anno1500,0.629308276,0.587803496,0.670813056,tier1
SAS,anno1500,0.627149057,0.586505072,0.667793042,tier2
SAS,anno1500,0.623965463,0.583101824,0.664829102,tier3
SAS,anno1500,0.615043729,0.574243795,0.655843662,tier4
EAS,anno1500,0.63672271,0.575103311,0.698342109,tier0
EAS,anno1500,0.654455308,0.594078418,0.714832199,tier1
EAS,anno1500,0.644140376,0.583579618,0.704701134,tier2
EAS,anno1500,0.640702989,0.579298715,0.702107262,tier3
EAS,anno1500,0.666576185,0.604085785,0.729066584,tier4
AFR,anno1500,0.578020287,0.527221937,0.628818637,tier0
AFR,anno1500,0.588454596,0.537148837,0.639760354,tier1
AFR,anno1500,0.582367014,0.532410875,0.632323154,tier2
AFR,anno1500,0.591607936,0.540450609,0.642765263,tier3
AFR,anno1500,0.60319295,0.552055841,0.654330058,tier4
EUR,anno1500,0.621277344,0.605438771,0.637115917,none
SAS,anno1500,0.614286183,0.59329787,0.635274496,none
EAS,anno1500,0.615594272,0.584465252,0.646723292,none
AFR,anno1500,0.559743317,0.534630113,0.584856521,none
