ethnic,method,auc,clump_auc,improve
EUR,PRScs,0.637122898,0.623864956,0.021
EUR,LDPred,0.63586168,0.623864956,0.019
EUR,AnnoPred,0.652402546,0.623864956,0.046
SAS,PRScs,0.616861031,0.608464207,0.014
SAS,LDPred,0.602431448,0.608464207,-0.010
SAS,AnnoPred,0.618177165,0.608464207,0.016
EAS,PRScs,0.538107329,0.523566536,0.028
EAS,LDPred,0.583787138,0.523566536,0.115
EAS,AnnoPred,0.585444511,0.523566536,0.118
AFR,PRScs,0.537416406,0.499582844,0.076
AFR,LDPred,0.52087248,0.499582844,0.043
AFR,AnnoPred,0.515815636,0.499582844,0.032
