"ethnic","software","auc","auc_LL","auc_UL","method","clump_auc"
"EUR","clump",0.623864955935277,0.600182203351297,0.647547708519258,"P+T",0.623864955935277
"EUR","ldpred1500",0.635861679809506,0.612281563459951,0.65944179615906,"LDPred",0.623864955935277
"EUR","anno1500",0.652402545739327,0.629175755601735,0.67562933587692,"AnnoPred",0.623864955935277
"SAS","clump",0.608464207200587,0.588213817929807,0.628714596471366,"P+T",0.608464207200587
"SAS","ldpred1500",0.602431448233115,0.582020068900311,0.622842827565919,"LDPred",0.608464207200587
"SAS","anno1500",0.618177165141729,0.598199706890581,0.638154623392877,"AnnoPred",0.608464207200587
"EAS","clump",0.523566535764147,0.43900531261229,0.608127758916003,"P+T",0.523566535764147
"EAS","ldpred1500",0.583787137806879,0.504560417541466,0.663013858072292,"LDPred",0.523566535764147
"EAS","anno1500",0.585444510666786,0.500512585511197,0.670376435822376,"AnnoPred",0.523566535764147
"AFR","clump",0.499582844000783,0.456265681419554,0.542900006582012,"P+T",0.499582844000783
"AFR","ldpred1500",0.520872479937365,0.478184590623903,0.563560369250828,"LDPred",0.499582844000783
"AFR","anno1500",0.515815635806094,0.472641522335014,0.558989749277174,"AnnoPred",0.499582844000783
