ethnic,software,auc,auc_LL,auc_UL,tier
EUR,anno1500,0.650788939,0.627465939,0.674111938,tier0
EUR,anno1500,0.651747812,0.628343169,0.675152454,tier1
EUR,anno1500,0.652402546,0.629175756,0.675629336,tier2
EUR,anno1500,0.649914858,0.626736005,0.673093711,tier3
EUR,anno1500,0.655080969,0.632179399,0.67798254,tier4
SAS,anno1500,0.619767295,0.599786038,0.639748553,tier0
SAS,anno1500,0.61964145,0.599708103,0.639574797,tier1
SAS,anno1500,0.618177165,0.598199707,0.638154623,tier2
SAS,anno1500,0.621432714,0.60147646,0.641388968,tier3
SAS,anno1500,0.620210181,0.599903188,0.640517174,tier4
EAS,anno1500,0.592057673,0.508525202,0.675590145,tier0
EAS,anno1500,0.585624127,0.498812911,0.672435344,tier1
EAS,anno1500,0.585444511,0.500512586,0.670376436,tier2
EAS,anno1500,0.590522766,0.507917797,0.673127735,tier3
EAS,anno1500,0.602140705,0.518701375,0.685580035,tier4
AFR,anno1500,0.517724441,0.474893226,0.560555655,tier0
AFR,anno1500,0.513398741,0.469676278,0.557121204,tier1
AFR,anno1500,0.515815636,0.472641522,0.558989749,tier2
AFR,anno1500,0.513855451,0.470524198,0.557186704,tier3
AFR,anno1500,0.497727458,0.451447759,0.544007157,tier4
EUR,anno1500,0.63586168,0.623830787,0.647892572,none
SAS,anno1500,0.602431448,0.592017288,0.612845609,none
EAS,anno1500,0.583787138,0.543364599,0.624209677,none
AFR,anno1500,0.52087248,0.499092544,0.542652416,none
