ethnic,method,auc,clump_auc,improve
EUR,PRScs,0.652862919,0.622873275,0.048
EUR,LDPred,0.656940534,0.622873275,0.055
EUR,AnnoPred,0.663835723,0.622873275,0.066
SAS,PRScs,0.599498905,0.571147634,0.050
SAS,LDPred,0.600068899,0.571147634,0.051
SAS,AnnoPred,0.603457476,0.571147634,0.057
EAS,PRScs,0.553790316,0.503936626,0.099
EAS,LDPred,0.549653221,0.503936626,0.091
EAS,AnnoPred,0.564609167,0.503936626,0.120
AFR,PRScs,0.536039702,0.531608383,0.008
AFR,LDPred,0.552951847,0.531608383,0.040
AFR,AnnoPred,0.550323262,0.531608383,0.035
