"ethnic","software","auc","auc_LL","auc_UL","method","clump_auc"
"EUR","clump",0.622873274603883,0.599769971324383,0.645976577883383,"P+T",0.622873274603883
"EUR","ldpred1500",0.656940534193255,0.634940510981462,0.678940557405047,"LDPred",0.622873274603883
"EUR","anno1500",0.66383572297471,0.641641352971214,0.686030092978206,"AnnoPred",0.622873274603883
"SAS","clump",0.571147634124646,0.5558611307229,0.586434137526392,"P+T",0.571147634124646
"SAS","ldpred1500",0.600068898607911,0.584932046726366,0.615205750489457,"LDPred",0.571147634124646
"SAS","anno1500",0.603457475669197,0.588383582992808,0.618531368345586,"AnnoPred",0.571147634124646
"EAS","clump",0.503936625980115,0.456189943560865,0.551683308399365,"P+T",0.503936625980115
"EAS","ldpred1500",0.54965322124323,0.500251885732623,0.599054556753837,"LDPred",0.503936625980115
"EAS","anno1500",0.564609166599305,0.515842979398689,0.613375353799921,"AnnoPred",0.503936625980115
"AFR","clump",0.531608382921837,0.510383421525382,0.552833344318293,"P+T",0.531608382921837
"AFR","ldpred1500",0.552951846900669,0.532064403407589,0.573839290393749,"LDPred",0.531608382921837
"AFR","anno1500",0.550323261839132,0.52926187026042,0.571384653417844,"AnnoPred",0.531608382921837
