ethnic,software,auc,auc_LL,auc_UL,tier
EUR,anno1500,0.660323121,0.637918568,0.682727674,tier0
EUR,anno1500,0.661956305,0.639596579,0.684316031,tier1
EUR,anno1500,0.661956031,0.639654599,0.684257463,tier2
EUR,anno1500,0.663835723,0.641641353,0.686030093,tier3
EUR,anno1500,0.656817189,0.634768143,0.678866235,tier4
SAS,anno1500,0.602343373,0.58725038,0.617436366,tier0
SAS,anno1500,0.603611607,0.588551044,0.61867217,tier1
SAS,anno1500,0.603860417,0.588769492,0.618951343,tier2
SAS,anno1500,0.603457476,0.588383583,0.618531368,tier3
SAS,anno1500,0.602862383,0.587844316,0.617880449,tier4
EAS,anno1500,0.563857408,0.514461759,0.613253058,tier0
EAS,anno1500,0.559382427,0.51012251,0.608642343,tier1
EAS,anno1500,0.557326004,0.508323858,0.606328151,tier2
EAS,anno1500,0.564609167,0.515842979,0.613375354,tier3
EAS,anno1500,0.524825802,0.472229948,0.577421656,tier4
AFR,anno1500,0.55273279,0.531629333,0.573836247,tier0
AFR,anno1500,0.549023609,0.527766976,0.570280243,tier1
AFR,anno1500,0.55024883,0.529126047,0.571371612,tier2
AFR,anno1500,0.550323262,0.52926187,0.571384653,tier3
AFR,anno1500,0.524194458,0.502999327,0.545389589,tier4
EUR,anno1500,0.656940534,0.645715826,0.668165242,none
SAS,anno1500,0.600068899,0.592345873,0.607791924,none
EAS,anno1500,0.549653221,0.524447995,0.574858447,none
AFR,anno1500,0.552951847,0.542294792,0.563608902,none
