ethnic,software,rsquared,rsquared_LL,rsquared_UL,tier
EUR,anno1500,0.102508735,0.090456787,0.114560682,tier0
EUR,anno1500,0.09847147,0.086606101,0.110336839,tier1
EUR,anno1500,0.101085567,0.089098595,0.113072539,tier2
EUR,anno1500,0.105486256,0.093301088,0.117671425,tier3
EUR,anno1500,0.114153597,0.101600531,0.126706662,tier4
SAS,anno1500,0.067741635,0.056744937,0.078738333,tier0
SAS,anno1500,0.064071398,0.053334644,0.074808152,tier1
SAS,anno1500,0.067798953,0.056798281,0.078799626,tier2
SAS,anno1500,0.069467918,0.058352606,0.08058323,tier3
SAS,anno1500,0.077457598,0.065821255,0.089093941,tier4
EAS,anno1500,0.06632974,0.045556874,0.087102605,tier0
EAS,anno1500,0.061794782,0.041647221,0.081942342,tier1
EAS,anno1500,0.067193025,0.046304749,0.088081302,tier2
EAS,anno1500,0.064394993,0.043884915,0.084905071,tier3
EAS,anno1500,0.07279976,0.051188145,0.094411376,tier4
AFR,anno1500,0.027238875,0.019164561,0.035313188,tier0
AFR,anno1500,0.02350551,0.015976126,0.031034895,tier1
AFR,anno1500,0.026950982,0.018917074,0.034984889,tier2
AFR,anno1500,0.024279146,0.01663292,0.031925371,tier3
AFR,anno1500,0.030841292,0.022281445,0.039401139,tier4
EUR,anno1500,0.088973418,0.083158391,0.094788444,none
SAS,anno1500,0.060287031,0.054951849,0.065622214,none
EAS,anno1500,0.063680162,0.053266129,0.074094196,none
AFR,anno1500,0.021755388,0.018053019,0.025457756,none
