"ethnic","software","rsquared","rsquared_LL","rsquared_UL","method"
"EUR","clump",0.018389973,0.013045369,0.023734577,"P+T"
"EUR","ldpred1500",0.079808332,0.069371026,0.090245639,"LDPred"
"EUR","anno1500",0.08470701,0.074011393,0.095402626,"AnnoPred"
"SAS","clump",0.003869772,0.001187987,0.006551557,"P+T"
"SAS","ldpred1500",0.024830732,0.018180452,0.031481012,"LDPred"
"SAS","anno1500",0.02642148,0.019572676,0.033270284,"AnnoPred"
"EAS","clump",0.00905441,0.001277647,0.016831173,"P+T"
"EAS","ldpred1500",0.039574932,0.023817241,0.055332622,"LDPred"
"EAS","anno1500",0.041157444,0.025114263,0.057200625,"AnnoPred"
"AFR","clump",0.005610069,0.002002637,0.009217501,"P+T"
"AFR","ldpred1500",0.031737063,0.023382303,0.040091824,"LDPred"
"AFR","anno1500",0.028982592,0.020975903,0.036989281,"AnnoPred"
