ethnic,software,rsquared,rsquared_LL,rsquared_UL,tier
EUR,anno1500,0.081137619,0.070628953,0.091646286,tier0
EUR,anno1500,0.080479937,0.070006456,0.090953417,tier1
EUR,anno1500,0.080688242,0.070203591,0.091172892,tier2
EUR,anno1500,0.079717126,0.069284752,0.090149501,tier3
EUR,anno1500,0.08470701,0.074011393,0.095402626,tier4
SAS,anno1500,0.024267635,0.017689396,0.030845874,tier0
SAS,anno1500,0.024092917,0.017537228,0.030648606,tier1
SAS,anno1500,0.025002466,0.018330403,0.031674529,tier2
SAS,anno1500,0.024170003,0.017604354,0.030735653,tier3
SAS,anno1500,0.02642148,0.019572676,0.033270284,tier4
EAS,anno1500,0.038075051,0.022594714,0.053555388,tier0
EAS,anno1500,0.042381864,0.026122582,0.058641147,tier1
EAS,anno1500,0.039816201,0.024014521,0.055617882,tier2
EAS,anno1500,0.038826813,0.023206616,0.05444701,tier3
EAS,anno1500,0.041157444,0.025114263,0.057200625,tier4
AFR,anno1500,0.030981475,0.022720326,0.039242624,tier0
AFR,anno1500,0.031586341,0.023250146,0.039922537,tier1
AFR,anno1500,0.030220261,0.022054822,0.0383857,tier2
AFR,anno1500,0.031624964,0.023284007,0.039965922,tier3
AFR,anno1500,0.028982592,0.020975903,0.036989281,tier4
EUR,anno1500,0.079808332,0.074483176,0.085133489,none
SAS,anno1500,0.024830732,0.021437732,0.028223732,none
EAS,anno1500,0.039574932,0.031535294,0.04761457,none
AFR,anno1500,0.031737063,0.027474431,0.035999696,none
