"ethnic","software","rsquared","rsquared_LL","rsquared_UL","method"
"EUR","clump",0.0607024443057743,0.0514171355990347,0.069987753012514,"P+T"
"EUR","ldpred1500",0.0700003879995003,0.0601279808826854,0.0798727951163152,"LDPred"
"EUR","anno1500",0.0800621968322157,0.0696183069881706,0.0905060866762609,"AnnoPred"
"SAS","clump",0.0178410170192389,0.0121707742121312,0.0235112598263467,"P+T"
"SAS","ldpred1500",0.0275485056942217,0.0205721754537364,0.034524835934707,"LDPred"
"SAS","anno1500",0.0337229780100205,0.0260533434507044,0.0413926125693366,"AnnoPred"
"EAS","clump",0.0395214734107548,0.023780519483167,0.0552624273383425,"P+T"
"EAS","ldpred1500",0.0572932798790699,0.0386914670636852,0.0758950926944546,"LDPred"
"EAS","anno1500",0.0668515124095651,0.0469615849445091,0.0867414398746212,"AnnoPred"
"AFR","clump",0.0296803451843819,0.0215910783795062,0.0377696119892577,"P+T"
"AFR","ldpred1500",0.0303971660989287,0.0222168463041577,0.0385774858936997,"LDPred"
"AFR","anno1500",0.0387525583160628,0.0295957263704947,0.0479093902616308,"AnnoPred"
