ethnic,software,rsquared,rsquared_LL,rsquared_UL,tier
EUR,anno1500,0.075366539,0.065181822,0.085551256,tier0
EUR,anno1500,0.079618779,0.06919883,0.090038727,tier1
EUR,anno1500,0.073182764,0.063122982,0.083242546,tier2
EUR,anno1500,0.07558159,0.065384725,0.085778455,tier3
EUR,anno1500,0.080062197,0.069618307,0.090506087,tier4
SAS,anno1500,0.029348201,0.022160926,0.036535476,tier0
SAS,anno1500,0.031843098,0.024375801,0.039310396,tier1
SAS,anno1500,0.029491842,0.022288066,0.036695618,tier2
SAS,anno1500,0.031202863,0.023806126,0.038599599,tier3
SAS,anno1500,0.033722978,0.026053343,0.041392613,tier4
EAS,anno1500,0.058531873,0.039754767,0.077308979,tier0
EAS,anno1500,0.069058705,0.048890914,0.089226497,tier1
EAS,anno1500,0.05736442,0.038752467,0.075976374,tier2
EAS,anno1500,0.065501603,0.045785034,0.085218172,tier3
EAS,anno1500,0.066851512,0.046961585,0.08674144,tier4
AFR,anno1500,0.032533811,0.024089521,0.040978101,tier0
AFR,anno1500,0.034664819,0.025967559,0.043362079,tier1
AFR,anno1500,0.031716471,0.023371885,0.040061058,tier2
AFR,anno1500,0.037753779,0.028706327,0.046801231,tier3
AFR,anno1500,0.038752558,0.029595726,0.04790939,tier4
EUR,anno1500,0.070000388,0.064963446,0.07503733,none
SAS,anno1500,0.027548506,0.023989154,0.031107858,none
EAS,anno1500,0.05729328,0.047802559,0.066784001,none
AFR,anno1500,0.030397166,0.026223534,0.034570799,none
