"ethnic","software","rsquared","rsquared_LL","rsquared_UL","method"
"EUR","clump",0.0391195217280049,0.0314918367980407,0.0467472066579691,"P+T"
"EUR","ldpred1500",0.0661653177683257,0.0565245458582793,0.075806089678372,"LDPred"
"EUR","anno1500",0.0709758220280942,0.0610421723590049,0.0809094716971835,"AnnoPred"
"SAS","clump",0.0581649400228547,0.0483417330934532,0.0679881469522562,"P+T"
"SAS","ldpred1500",0.0732970820410664,0.0624470337613636,0.0841471303207692,"LDPred"
"SAS","anno1500",0.0734078675863231,0.0625509207825084,0.0842648143901378,"AnnoPred"
"EAS","clump",0.0390018424561163,0.0233493283013874,0.0546543566108452,"P+T"
"EAS","ldpred1500",0.0388591778288847,0.0232329980900952,0.0544853575676743,"LDPred"
"EAS","anno1500",0.0434874768017744,0.02703649758145,0.0599384560220989,"AnnoPred"
"AFR","clump",0.00660170252155608,0.00269529598936673,0.0105081090537454,"P+T"
"AFR","ldpred1500",0.00922777131284078,0.00462151301945816,0.0138340296062234,"LDPred"
"AFR","anno1500",0.0120856121005863,0.00682931763837859,0.017341906562794,"AnnoPred"
